Time,Key pressed,Key released
1.10944,1,None
1.27586,2,None
1.35173,None,1
1.35543,3,None
1.41983,None,2
1.44419,None,3
1.87917,Key.shift,None
2.05062,C,None
2.17489,None,C
2.18643,A,None
2.30261,None,A
2.31887,P,None
2.41884,None,P
2.58302,None,Key.shift
2.70598,a,None
2.8341,None,a
2.89561,b,None
3.00785,c,None
3.01929,None,b
3.09583,None,c
3.47302,Key.shift,None
3.6648,!,None
3.8008,None,!
3.82904,None,Key.shift
4.01877,Key.enter,None
4.13528,None,Key.enter
4.43487,1,None
4.57498,2,None
4.67076,None,1
4.67881,3,None
4.74255,None,2
4.81549,None,3
5.29265,Key.shift,None
5.4569,C,None
5.58087,None,C
5.72088,A,None
5.8567,None,A
5.96888,P,None
6.07278,None,P
6.20884,None,Key.shift
6.31281,a,None
6.45733,None,a
6.55437,b,None
6.67143,None,b
6.70794,c,None
6.82035,None,c
7.09391,Key.shift,None
7.3199,!,None
7.44188,None,!
7.52596,None,Key.shift
7.69304,Key.enter,None
7.78905,None,Key.enter
8.27969,1,None
8.4121,None,1
8.55392,2,None
8.66605,None,2
8.81282,3,None
8.90486,None,3
9.2749,Key.shift,None
9.4589,C,None
9.57504,None,C
9.73888,A,None
9.89033,None,A
9.95863,P,None
10.06299,None,P
10.17526,None,Key.shift
10.31902,a,None
10.46191,None,a
10.71771,b,None
10.88619,None,b
10.92184,c,None
11.02183,None,c
11.27802,Key.shift,None
11.55793,!,None
11.70111,None,!
11.73334,None,Key.shift
11.97186,Key.enter,None
12.04414,None,Key.enter
12.59584,1,None
12.73982,2,None
12.83556,None,1
12.87185,3,None
12.93972,None,2
12.97616,None,3
13.44387,Key.shift,None
13.58786,C,None
13.71975,None,C
13.8598,A,None
14.0236,None,A
14.09198,P,None
14.19989,None,P
14.3005,None,Key.shift
14.44894,a,None
14.57693,None,a
14.58881,b,None
14.68929,None,b
14.7079,c,None
14.80369,None,c
15.00773,Key.shift,None
15.17584,!,None
15.30374,None,!
15.40013,None,Key.shift
15.47588,Key.enter,None
15.57615,None,Key.enter
15.83577,1,None
15.95564,2,None
16.03962,None,1
16.05981,3,None
16.12368,None,2
16.16412,None,3
16.50482,Key.shift,None
16.63322,C,None
16.74055,None,C
16.84872,A,None
16.97304,None,A
16.98501,P,None
17.1127,None,P
17.14106,None,Key.shift
17.27572,a,None
17.38391,None,a
17.38721,b,None
17.48779,c,None
17.5036,None,b
17.58801,None,c
17.79788,Key.shift,None
17.94578,!,None
18.06171,None,!
18.13397,None,Key.shift
18.41582,Key.enter,None
18.61996,None,Key.enter
18.73472,1,None
18.86682,2,None
18.96664,None,1
18.99882,3,None
19.05098,None,2
19.107,None,3
19.52804,Key.shift,None
19.64783,C,None
19.78379,None,C
19.96385,A,None
20.16366,None,A
20.23542,P,None
20.3276,None,P
20.41609,None,Key.shift
20.54589,a,None
20.64184,None,a
20.65948,b,None
20.76766,c,None
20.77135,None,b
20.86791,None,c
21.09301,Key.shift,None
21.24873,!,None
21.38895,None,!
21.45703,None,Key.shift
21.56066,Key.enter,None
21.64485,None,Key.enter
21.90901,1,None
22.01681,2,None
22.14089,None,1
22.14164,3,None
22.22058,None,2
22.26512,None,3
22.60191,Key.shift,None
22.73376,C,None
22.85764,None,C
22.88972,A,None
23.0097,None,A
23.09765,P,None
23.24576,None,P
23.30201,None,Key.shift
23.42272,a,None
23.5391,None,a
23.55412,b,None
23.66141,c,None
23.66938,None,b
23.76138,None,c
23.95973,Key.shift,None
24.05562,!,None
24.21966,None,!
24.28004,None,Key.shift
24.36566,Key.enter,None
24.48571,None,Key.enter
25.11269,1,None
25.24477,2,None
25.33655,None,1
25.34853,3,None
25.41679,None,2
25.4569,None,3
25.78374,Key.shift,None
25.8877,C,None
26.04757,None,C
26.11966,A,None
26.24772,P,None
26.26761,None,A
26.37555,None,P
26.42394,None,Key.shift
26.53944,a,None
26.65202,None,a
26.67169,b,None
26.81175,c,None
26.81506,None,b
26.90793,None,c
27.13582,Key.shift,None
27.28773,!,None
27.43553,None,!
27.50391,None,Key.shift
27.62256,Key.enter,None
27.71869,None,Key.enter
27.88431,1,None
28.03658,2,None
28.12447,None,1
28.14058,3,None
28.20049,None,2
28.24064,None,3
28.69464,Key.shift,None
28.82278,C,None
28.97046,None,C
29.11063,A,None
29.31451,None,A
29.45099,P,None
29.56683,None,P
29.70702,None,Key.shift
29.90646,a,None
30.09438,None,a
30.25667,b,None
30.40099,None,b
30.62658,c,None
30.77993,None,c
30.99861,Key.shift,None
31.37061,!,None
31.57446,None,!
31.66633,None,Key.shift
31.92086,Key.enter,None
32.04982,None,Key.enter
32.33363,1,None
32.49338,2,None
32.57082,None,1
32.57692,3,None
32.66187,None,2
32.72202,None,3
33.1026,Key.shift,None
33.26231,C,None
33.40693,None,C
33.55449,A,None
33.7226,None,A
33.93432,P,None
34.0588,None,P
34.17907,None,Key.shift
34.34058,a,None
34.5288,None,a
34.69447,b,None
34.78688,None,b
34.92046,c,None
35.02081,None,c
35.4776,Key.shift,None
36.01358,!,None
36.20935,None,!
36.31018,None,Key.shift
