Time,Key pressed,Key released
1.87225,Key.end,None
2.03279,Key.down,None
2.08475,None,Key.end
2.21605,None,Key.down
2.26364,Key.page_down,None
2.45182,None,Key.page_down
3.27566,Key.caps_lock,None
3.47862,None,Key.caps_lock
4.34255,c,None
4.47002,None,c
4.65203,a,None
4.80698,None,a
5.06206,p,None
5.24516,None,p
6.56164,Key.backspace,None
7.07978,Key.backspace,None
7.11049,Key.backspace,None
7.1405,Key.backspace,None
7.17149,Key.backspace,None
7.18411,None,Key.backspace
7.76664,Key.num_lock,None
7.89464,None,Key.num_lock
8.66277,<97>,None
8.80485,<98>,None
8.85208,None,<97>
8.94564,<99>,None
8.97987,None,<98>
9.11687,None,<99>
10.54307,c,None
10.68605,None,c
10.88819,a,None
11.04172,None,a
11.54673,p,None
11.69956,None,p
12.25167,Key.caps_lock,None
12.38962,None,Key.caps_lock
12.63876,a,None
12.79697,None,a
13.13653,b,None
13.27991,None,b
13.47606,c,None
13.59329,None,c
13.79692,Key.shift,None
14.07211,@,None
14.26907,None,@
14.35962,None,Key.shift
14.80989,Key.backspace,None
14.92233,None,Key.backspace
14.9553,Key.shift,None
15.17988,!,None
15.35102,None,!
15.37605,None,Key.shift
17.04935,Key.enter,None
17.20791,None,Key.enter
18.90637,Key.shift,None
19.1198,None,Key.shift
19.13281,<97>,None
19.30151,None,<97>
20.56771,<98>,None
20.62506,None,<98>
20.64805,<99>,None
20.78643,None,<99>
21.87951,c,None
22.0081,None,c
22.15674,a,None
22.2999,None,a
22.58183,Key.backspace,None
22.64292,None,Key.backspace
22.73713,Key.backspace,None
22.83989,None,Key.backspace
22.92745,Key.caps_lock,None
23.06624,None,Key.caps_lock
23.27547,c,None
23.42307,None,c
23.52559,a,None
23.68154,None,a
24.93728,p,None
25.04962,None,p
25.16369,Key.caps_lock,None
25.28643,None,Key.caps_lock
26.02528,a,None
26.20721,None,a
26.36245,b,None
26.46966,None,b
26.60336,c,None
26.74439,None,c
26.93648,Key.shift,None
27.20819,@,None
27.32591,None,@
27.45168,None,Key.shift
27.8469,Key.backspace,None
27.89806,Key.shift,None
27.96526,None,Key.backspace
28.06924,!,None
28.2576,None,!
28.26061,None,Key.shift
28.77218,Key.enter,None
28.89189,None,Key.enter
29.73863,Key.caps_lock,None
29.89145,None,Key.caps_lock
30.49634,<97>,None
30.67143,<98>,None
30.72865,None,<97>
30.84055,<99>,None
30.86767,None,<98>
31.00442,None,<99>
31.44668,c,None
31.60516,None,c
31.86304,a,None
31.99076,None,a
32.82293,p,None
32.96693,None,p
33.07857,Key.caps_lock,None
33.23132,None,Key.caps_lock
33.49259,a,None
33.61374,None,a
34.11457,b,None
34.26793,None,b
34.39818,c,None
34.51465,None,c
34.78001,Key.shift,None
35.62723,!,None
35.81019,None,!
35.91079,None,Key.shift
36.5734,Key.enter,None
36.72653,None,Key.enter
37.68159,<97>,None
37.82709,<98>,None
37.87917,None,<97>
37.9481,<99>,None
38.0202,None,<98>
38.11881,None,<99>
38.37609,Key.caps_lock,None
38.52413,None,Key.caps_lock
38.81338,c,None
38.92113,None,c
39.04079,a,None
39.16131,None,a
39.94919,p,None
40.08951,None,p
40.12758,Key.caps_lock,None
40.23318,None,Key.caps_lock
40.52305,a,None
40.66369,None,a
40.85309,b,None
40.95519,None,b
41.09862,c,None
41.20672,None,c
41.44093,Key.shift,None
41.78005,@,None
41.8935,None,@
41.94416,None,Key.shift
42.52779,Key.backspace,None
42.63674,Key.shift,None
42.64877,None,Key.backspace
42.82653,!,None
42.95133,None,!
42.99104,None,Key.shift
43.22018,Key.enter,None
43.32283,None,Key.enter
45.96401,Key.up,None
46.06325,None,Key.up
46.16911,Key.shift,None
46.49617,None,Key.shift
46.68023,Key.down,None
46.81983,None,Key.down
47.82241,<97>,None
47.96933,<98>,None
47.98133,None,<97>
48.06865,<99>,None
48.13707,None,<98>
48.24057,None,<99>
48.87495,Key.caps_lock,None
48.98234,None,Key.caps_lock
49.22676,c,None
49.36,None,c
49.4736,a,None
49.59604,None,a
50.1573,p,None
50.26549,None,p
50.58017,Key.caps_lock,None
50.72635,None,Key.caps_lock
51.02066,a,None
51.1132,None,a
51.41278,b,None
51.53049,None,b
51.63381,c,None
51.73956,None,c
51.98698,Key.shift,None
52.31923,@,None
52.45143,None,@
52.52264,None,Key.shift
52.93323,Key.backspace,None
52.95232,Key.shift,None
53.03653,None,Key.backspace
53.16521,!,None
53.33329,None,!
53.3583,None,Key.shift
53.60495,Key.enter,None
53.7052,None,Key.enter
55.05659,<97>,None
55.19918,<98>,None
55.2516,None,<97>
55.31106,<99>,None
55.39204,None,<98>
55.49381,None,<99>
56.31221,Key.caps_lock,None
56.43849,None,Key.caps_lock
56.6039,c,None
56.74173,None,c
56.87211,a,None
57.02731,None,a
57.45625,p,None
57.58286,None,p
58.00945,Key.caps_lock,None
58.15415,None,Key.caps_lock
58.45498,a,None
58.62489,None,a
58.66863,b,None
58.81108,None,b
58.92492,c,None
59.03744,None,c
59.32848,Key.shift,None
59.79737,!,None
59.95469,None,!
59.97976,None,Key.shift
60.63158,Key.enter,None
60.7654,None,Key.enter
65.24181,<97>,None
65.39726,<98>,None
65.43377,None,<97>
65.51964,<99>,None
65.5775,None,<98>
65.66811,None,<99>
66.19612,Key.shift,None
66.44642,None,Key.shift
66.72879,Key.caps_lock,None
66.84144,None,Key.caps_lock
67.04057,c,None
67.16303,None,c
67.28262,a,None
67.44376,None,a
67.85761,p,None
67.98874,None,p
68.20494,Key.caps_lock,None
68.30246,None,Key.caps_lock
68.60025,a,None
68.70874,None,a
68.83944,b,None
68.93695,None,b
69.04054,c,None
69.13834,None,c
69.32721,Key.shift,None
69.75277,!,None
69.85285,None,Key.shift
69.88374,None,1
70.12487,Key.enter,None
70.27564,None,Key.enter
72.24778,<97>,None
72.41363,<98>,None
72.44061,None,<97>
72.54503,<99>,None
72.59849,None,<98>
72.72599,None,<99>
73.23255,Key.shift,None
73.47849,None,Key.shift
73.6573,Key.caps_lock,None
73.79832,None,Key.caps_lock
73.94305,c,None
74.07291,None,c
74.20261,a,None
74.33923,None,a
74.50333,p,None
74.64626,None,p
75.46927,Key.caps_lock,None
75.56734,None,Key.caps_lock
75.81939,a,None
75.9158,b,None
75.933,None,a
76.01039,None,b
76.16049,c,None
76.27845,None,c
76.48715,Key.shift,None
76.79893,!,None
76.92109,None,!
77.08776,None,Key.shift
77.29415,Key.enter,None
77.45154,None,Key.enter
78.70869,<97>,None
78.87024,<98>,None
78.91759,None,<97>
78.97913,<99>,None
79.01845,None,<98>
79.14509,None,<99>
79.9434,Key.caps_lock,None
80.05453,None,Key.caps_lock
80.27305,c,None
80.39077,None,c
80.53342,a,None
80.66749,None,a
81.06729,p,None
81.24514,None,p
81.46082,Key.caps_lock,None
81.60816,None,Key.caps_lock
81.77759,a,None
81.90035,None,a
82.18356,b,None
82.28313,None,b
82.405,c,None
82.53064,None,c
82.6913,Key.shift,None
83.35864,!,None
83.52744,None,!
83.5677,None,Key.shift
84.16415,Key.enter,None
84.27489,None,Key.enter
85.40468,<97>,None
85.52878,<98>,None
85.63108,None,<97>
85.63889,<99>,None
85.72255,None,<98>
85.82236,None,<99>
86.81319,Key.caps_lock,None
86.90493,None,Key.caps_lock
87.18052,c,None
87.30818,None,c
87.40464,a,None
87.55471,None,a
88.21699,p,None
88.33982,None,p
88.41112,Key.caps_lock,None
88.52373,None,Key.caps_lock
89.20098,a,None
89.34118,None,a
89.44278,b,None
89.54541,None,b
89.63593,c,None
89.76484,None,c
89.95273,Key.shift,None
90.21082,!,None
90.34812,None,!
90.38749,None,Key.shift
