Time,Key pressed,Key released
1.58844,1,None
1.703,None,1
1.79613,2,None
1.88397,None,2
1.98314,3,None
2.06972,None,3
2.33964,Key.shift,None
2.57862,C,None
2.66134,None,C
2.87414,A,None
2.9772,None,A
3.22035,P,None
3.31308,None,P
3.36342,None,Key.shift
3.5917,a,None
3.69018,None,a
3.69412,b,None
3.81267,None,b
3.95678,c,None
4.06825,None,c
4.09512,Key.shift,None
4.34497,!,None
4.39723,None,!
4.75191,None,Key.shift
5.66302,Key.enter,None
5.7736,None,Key.enter
6.43427,2,None
6.50553,None,2
7.63556,Key.backspace,None
7.70791,None,Key.backspace
7.77974,1,None
7.88208,2,None
7.92617,None,1
7.99818,None,2
8.07107,3,None
8.17374,None,3
9.44448,Key.shift,None
9.69174,C,None
9.77397,None,C
9.8701,A,None
9.95772,None,A
10.38607,P,None
10.46855,None,P
10.50351,None,Key.shift
10.76911,a,None
10.88625,None,a
10.89528,b,None
10.98259,None,b
11.11924,c,None
11.20654,None,c
11.26455,Key.shift,None
11.55154,!,None
11.63408,None,!
11.69434,None,Key.shift
12.51277,Key.enter,None
12.59495,None,Key.enter
13.07395,1,None
13.20499,None,1
13.21442,2,None
13.31622,None,2
13.39055,3,None
13.49736,None,3
13.65413,Key.shift,None
13.8481,C,None
13.93582,None,C
14.05257,A,None
14.18029,None,A
14.54743,P,None
14.6306,None,Key.shift
14.6366,None,p
14.79997,a,None
14.89277,None,a
14.92081,b,None
15.02316,None,b
15.12641,c,None
15.21742,None,c
15.28321,Key.shift,None
15.72694,!,None
15.81475,None,!
15.85458,None,Key.shift
16.23895,Key.enter,None
16.30784,None,Key.enter
16.45301,1,None
16.58027,None,1
16.60505,2,None
16.71657,None,2
16.81119,3,None
16.89862,None,3
17.0924,Key.shift,None
17.32145,C,None
17.40733,None,C
17.48579,A,None
17.6034,None,A
18.32834,P,None
18.41842,None,P
18.47943,None,Key.shift
18.65907,a,None
18.76424,None,a
18.77424,b,None
18.86664,None,b
18.97017,c,None
19.06237,None,c
19.08336,Key.shift,None
19.30503,!,None
19.40355,None,!
19.45585,None,Key.shift
19.75444,Key.enter,None
19.84418,None,Key.enter
20.13846,1,None
20.23092,None,1
20.31232,2,None
20.40481,None,2
20.50553,3,None
20.57396,None,3
20.73264,Key.shift,None
20.94413,C,None
21.02149,None,C
21.28074,A,None
21.38655,None,A
21.72919,P,None
21.81696,None,P
21.87627,None,Key.shift
22.14159,a,None
22.22925,None,a
22.23226,b,None
22.3448,None,b
22.45812,c,None
22.54503,None,c
22.67716,Key.shift,None
22.88394,!,None
22.97522,None,!
23.02554,None,Key.shift
23.51919,Key.enter,None
23.62855,None,Key.enter
24.23106,1,None
24.33174,2,None
24.36909,None,1
24.44965,None,2
24.52067,3,None
24.62873,None,3
26.34057,Key.shift,None
26.51194,C,None
26.64338,None,C
26.71574,A,None
26.83147,None,A
26.94517,P,None
27.02283,None,P
27.14314,None,Key.shift
27.5698,a,None
27.66528,None,a
27.71568,b,None
27.81268,None,b
27.81569,c,None
27.8945,None,c
28.03313,Key.shift,None
28.265,!,None
28.27601,None,!
28.48916,None,Key.shift
29.70941,Key.enter,None
29.81474,None,Key.enter
30.42087,1,None
30.57009,2,None
30.61215,None,1
30.66817,None,2
30.77897,3,None
30.85696,None,3
31.14979,Key.shift,None
31.32744,C,None
31.42845,None,C
31.49202,A,None
31.60531,None,A
31.804,P,None
31.89009,None,P
31.93511,None,Key.shift
32.22739,a,None
32.34886,None,a
32.42858,b,None
32.51623,None,b
32.61466,c,None
32.69718,None,c
33.01976,Key.shift,None
33.26468,!,None
33.37305,None,!
33.42707,None,Key.shift
34.44554,Key.enter,None
34.54914,None,Key.enter
35.8251,1,None
35.95782,None,1
35.97583,2,None
36.07636,None,2
36.16608,3,None
36.2653,None,3
36.4956,Key.shift,None
36.6719,C,None
36.75945,None,C
37.11878,A,None
37.1908,None,A
37.39755,P,None
37.48059,None,P
37.5468,None,Key.shift
37.71136,a,None
37.81846,None,a
37.82722,b,None
37.90986,None,b
37.96374,c,None
38.05014,None,c
38.21328,Key.shift,None
38.48356,!,None
38.58098,None,!
38.64007,None,Key.shift
38.85525,Key.enter,None
38.95253,None,Key.enter
39.65705,1,None
39.76325,None,1
39.86162,2,None
39.95915,None,2
40.05887,3,None
40.14528,None,3
40.48051,Key.shift,None
40.63681,C,None
40.76463,None,C
40.83809,A,None
40.9359,None,A
41.73527,P,None
41.82478,None,P
42.12374,None,Key.shift
42.76084,a,None
42.85869,None,a
42.87154,b,None
42.94402,None,b
43.0008,c,None
43.09589,None,c
43.3008,Key.shift,None
43.66407,!,None
43.80712,None,!
43.92096,None,Key.shift
44.5268,Key.enter,None
44.61995,None,Key.enter
45.50821,1,None
45.61802,None,1
45.7126,2,None
45.80989,None,2
45.9036,3,None
45.99598,None,3
46.23499,Key.shift,None
46.44642,C,None
46.54794,None,C
46.61642,A,None
46.72686,None,A
46.9162,P,None
47.01278,None,P
47.37064,None,Key.shift
47.71165,a,None
47.80026,None,a
47.87865,b,None
47.95596,None,b
48.01401,c,None
48.09779,None,c
48.29153,Key.shift,None
48.59177,!,None
48.69435,None,!
48.73953,None,Key.shift
