Time,Key pressed,Key released
2.04737,1,None
2.11919,2,None
2.16736,None,1
2.19135,3,None
2.19938,Key.f2,None
2.20721,None,2
2.22305,None,Key.f2
2.27136,None,3
2.52736,Key.shift,None
2.63119,C,None
2.74333,None,C
2.75921,A,None
2.82335,P,None
2.86319,None,A
2.8947,None,P
2.9113,None,Key.shift
3.01561,a,None
3.07936,b,None
3.10335,None,a
3.16736,None,b
3.18338,c,None
3.29535,None,c
3.40718,Key.shift,None
3.66335,None,Key.shift
3.79135,Key.shift,None
4.00724,!,None
4.11135,None,!
4.15135,None,Key.shift
4.75917,Key.enter,None
4.83134,None,Key.enter
4.97534,1,None
5.04733,2,None
5.09529,None,1
5.10337,3,None
5.14303,None,2
5.20727,None,3
5.42334,Key.shift,None
5.55134,C,None
5.64716,None,C
5.65536,A,None
5.75916,P,None
5.76736,None,A
5.79133,None,Key.shift
5.85533,None,p
5.92701,a,None
5.99933,None,a
6.04733,b,None
6.06335,c,None
6.12733,None,b
6.17534,None,c
6.29533,Key.shift,None
6.39933,!,None
6.51132,None,!
6.54265,None,Key.shift
6.57533,Key.enter,None
6.64732,None,Key.enter
6.77532,1,None
6.80732,2,None
6.86332,None,1
6.87135,3,None
6.91133,None,2
6.95915,None,3
7.19132,Key.shift,None
7.38332,C,None
7.4953,None,C
7.50335,A,None
7.63126,None,A
7.64735,P,None
7.74326,None,P
7.75117,None,Key.shift
7.93531,a,None
8.00714,b,None
8.01534,None,a
8.10331,None,b
8.11933,c,None
8.20732,None,c
8.287,Key.shift,None
8.39931,!,None
8.49531,None,!
8.55037,None,Key.shift
8.60732,Key.enter,None
8.69531,None,Key.enter
8.75924,1,None
8.82331,2,None
8.88731,3,None
8.91131,None,1
8.95114,None,2
8.99929,None,3
9.22331,Key.shift,None
9.36731,C,None
9.48733,None,C
9.49513,A,None
9.5913,None,A
9.71113,P,None
9.7673,None,Key.shift
9.79931,None,p
9.94312,a,None
10.00713,b,None
10.01532,None,a
10.0953,None,b
10.11105,c,None
10.2153,None,c
10.3033,Key.shift,None
10.40745,!,None
10.5273,None,!
10.59129,None,Key.shift
10.6393,Key.enter,None
10.71929,None,Key.enter
10.86329,1,None
10.90307,2,None
10.97529,None,1
10.98332,3,None
11.0393,None,2
11.0873,None,3
11.30312,Key.shift,None
11.50328,C,None
11.60729,None,C
11.62332,A,None
11.75129,None,A
11.79129,P,None
11.80731,None,Key.shift
11.91128,None,p
11.99128,a,None
12.06336,None,a
12.11128,b,None
12.17529,None,b
12.21529,c,None
12.28728,None,c
12.37528,Key.shift,None
12.50328,!,None
12.59928,None,!
12.66327,None,Key.shift
12.66428,Key.enter,None
12.7426,None,Key.enter
12.87928,1,None
12.91126,2,None
12.96731,None,1
13.02326,3,None
13.0313,None,2
13.08728,None,3
13.31128,Key.shift,None
13.47927,C,None
13.57527,None,C
13.59927,A,None
13.64727,None,A
13.71935,None,Key.shift
13.78327,p,None
13.88727,None,p
13.9671,a,None
14.06327,None,a
14.08727,b,None
14.15126,None,b
14.17527,c,None
14.26274,None,c
14.32727,Key.shift,None
14.43927,!,None
14.56727,None,!
14.62326,None,Key.shift
14.69509,Key.enter,None
14.75862,None,Key.enter
14.99102,1,None
14.99884,2,None
15.05526,None,1
15.10329,None,2
15.96726,3,None
16.02325,None,3
16.21525,Key.shift,None
16.35925,C,None
16.50308,None,C
16.51099,A,None
16.63125,None,A
16.67125,None,Key.shift
16.78307,p,None
16.88706,None,p
17.33524,Key.backspace,None
17.39924,None,Key.backspace
17.43925,Key.shift,None
17.87124,P,None
17.94322,None,P
17.98324,None,Key.shift
18.10301,a,None
18.19123,None,a
18.20726,b,None
18.28698,None,b
18.30235,c,None
18.39124,None,c
18.45523,Key.shift,None
18.57523,!,None
18.66323,None,!
18.71123,None,Key.shift
18.74322,Key.enter,None
18.81533,None,Key.enter
18.95123,1,None
19.04706,2,None
19.10322,None,1
19.11113,3,None
19.15123,None,2
19.22323,None,3
19.41522,Key.shift,None
19.60723,C,None
19.67922,None,C
19.70322,A,None
19.83922,P,None
19.84724,None,A
19.89522,None,Key.shift
19.93523,None,p
20.03117,a,None
20.11922,None,a
20.13524,b,None
20.2233,None,b
20.23925,c,None
20.33521,None,c
20.42321,Key.shift,None
20.55121,!,None
20.65522,None,!
20.71904,None,Key.shift
20.79122,Key.enter,None
20.85522,None,Key.enter
20.9992,1,None
21.06321,2,None
21.11121,3,None
21.12699,None,1
21.15104,None,2
21.23121,None,3
21.4392,Key.shift,None
21.5752,C,None
21.6792,A,None
21.71121,None,C
21.77521,P,None
21.83121,None,A
21.86303,None,Key.shift
21.87124,None,p
21.98321,a,None
22.0552,None,a
22.06324,b,None
22.13511,None,b
22.16717,c,None
22.2712,None,c
22.3352,Key.shift,None
22.7112,!,None
22.8552,None,!
22.91123,None,Key.shift
22.9832,Key.enter,None
23.0552,None,Key.enter
23.15119,1,None
23.23119,2,None
23.31119,None,1
23.31878,3,None
23.35902,None,2
23.4152,None,3
23.62319,Key.shift,None
23.77519,C,None
23.87119,A,None
23.87921,None,C
23.98286,P,None
23.99121,None,A
24.02319,None,Key.shift
24.07119,None,p
24.14297,a,None
24.23094,None,a
24.24629,b,None
24.33519,None,b
24.34315,c,None
24.41501,None,c
24.47918,Key.shift,None
24.59919,!,None
24.67901,None,!
24.72717,None,Key.shift
