Time,Key pressed,Key released
0.92483,1,None
0.93356,None,1
0.9438,2,None
0.95549,None,2
0.96516,3,None
0.97541,None,3
0.9863,Key.shift,None
0.9979,C,None
1.00837,None,Key.shift
1.02005,None,c
1.03152,Key.shift,None
1.04179,A,None
1.053,None,Key.shift
1.06435,None,a
1.07569,Key.shift,None
1.08955,P,None
1.09752,None,Key.shift
1.1081,None,p
1.11993,a,None
1.13019,None,a
1.14118,b,None
1.15156,None,b
1.16307,c,None
1.17455,None,c
1.18665,Key.shift,None
1.19766,!,None
1.20908,None,Key.shift
1.21993,None,1
1.33314,Key.enter,None
1.34362,None,Key.enter
1.45697,1,None
1.46843,None,1
1.4803,2,None
1.49071,None,2
1.50291,3,None
1.51323,None,3
1.52431,Key.shift,None
1.53548,C,None
1.54655,None,Key.shift
1.55702,None,c
1.56826,Key.shift,None
1.57945,A,None
1.59072,None,Key.shift
1.60198,None,a
1.61336,Key.shift,None
1.62456,P,None
1.63524,None,Key.shift
1.64656,None,p
1.65778,a,None
1.66936,None,a
1.68075,b,None
1.69123,None,b
1.70255,c,None
1.71317,None,c
1.72572,Key.shift,None
1.73647,!,None
1.74778,None,Key.shift
1.75817,None,1
1.87158,Key.enter,None
1.88245,None,Key.enter
1.99528,1,None
2.0057,None,1
2.01735,2,None
2.02859,None,2
2.04192,3,None
2.05231,None,3
2.06349,Key.shift,None
2.07541,C,None
2.08556,None,Key.shift
2.09569,None,c
2.10937,Key.shift,None
2.11971,A,None
2.13087,None,Key.shift
2.14212,None,a
2.15404,Key.shift,None
2.16572,P,None
2.17588,None,Key.shift
2.1875,None,p
2.19851,a,None
2.20905,None,a
2.22109,b,None
2.23249,None,b
2.24377,c,None
2.25446,None,c
2.26599,Key.shift,None
2.27714,!,None
2.28841,None,Key.shift
2.29969,None,1
2.41257,Key.enter,None
2.42557,None,Key.enter
2.53546,1,None
2.54673,None,1
2.56027,2,None
2.5713,None,2
2.58143,3,None
2.59257,None,3
2.60368,Key.shift,None
2.61407,C,None
2.6259,None,Key.shift
2.63666,None,c
2.6482,Key.shift,None
2.65936,A,None
2.67057,None,Key.shift
2.68129,None,a
2.69318,Key.shift,None
2.70476,P,None
2.71587,None,Key.shift
2.72709,None,p
2.73928,a,None
2.74957,None,a
2.76099,b,None
2.77125,None,b
2.78161,c,None
2.79221,None,c
2.80401,Key.shift,None
2.81467,!,None
2.82558,None,Key.shift
2.83685,None,1
2.94944,Key.enter,None
2.96123,None,Key.enter
3.07228,1,None
3.08326,None,1
3.0942,2,None
3.10539,None,2
3.11642,3,None
3.12705,None,3
3.14093,Key.shift,None
3.15226,C,None
3.1635,None,Key.shift
3.17454,None,c
3.18508,Key.shift,None
3.19641,A,None
3.20754,None,Key.shift
3.21861,None,a
3.22879,Key.shift,None
3.24044,P,None
3.25048,None,Key.shift
3.26122,None,p
3.27397,a,None
3.28526,None,a
3.29535,b,None
3.3064,None,b
3.31827,c,None
3.32968,None,c
3.34002,Key.shift,None
3.3516,!,None
3.363,None,Key.shift
3.37364,None,1
3.48635,Key.enter,None
3.49716,None,Key.enter
3.60943,1,None
3.62096,None,1
3.63218,2,None
3.64402,None,2
3.65668,3,None
3.66709,None,3
3.67832,Key.shift,None
3.68889,C,None
3.69926,None,Key.shift
3.71026,None,c
3.72176,Key.shift,None
3.7324,A,None
3.74351,None,Key.shift
3.75502,None,a
3.76614,Key.shift,None
3.7775,P,None
3.78858,None,Key.shift
3.79885,None,p
3.81095,a,None
3.82138,None,a
3.83331,b,None
3.84391,None,b
3.85564,c,None
3.86624,None,c
3.8775,Key.shift,None
3.88884,!,None
3.89881,None,Key.shift
3.91024,None,1
4.02206,Key.enter,None
4.03227,None,Key.enter
4.14444,1,None
4.15559,None,1
4.16606,2,None
4.17741,None,2
4.1895,3,None
4.20045,None,3
4.21122,Key.shift,None
4.22243,C,None
4.23412,None,Key.shift
4.24519,None,c
4.25747,Key.shift,None
4.26872,A,None
